rxn,rxnNames,subSystem
10FTHF5GLUtl,"5-glutamyl-10FTHF transport, lysosomal","Transport, lysosomal"
10FTHF5GLUtm,"5-glutamyl-10FTHF transport, mitochondrial","Transport, mitochondrial"
10FTHF6GLUtl,"6-glutamyl-10FTHF transport, lysosomal","Transport, lysosomal"
10FTHF6GLUtm,"6-glutamyl-10FTHF transport, mitochondrial","Transport, mitochondrial"
10FTHF7GLUtl,"7-glutamyl-10FTHF transport, lysosomal","Transport, lysosomal"
10FTHF7GLUtm,"7-glutamyl-10FTHF transport, mitochondrial","Transport, mitochondrial"
10FTHFtl,"10-Formyltetrahydrofolate lysosomal transport via diffusion","Transport, lysosomal"
10FTHFtm,"10-Formyltetrahydrofolate mitochondrial transport via diffusion","Transport, mitochondrial"
11DOCRTSLtm,"11-deoxycortisol intracellular transport","Transport, mitochondrial"
11DOCRTSLtr,"11-deoxycortisol intracellular transport","Transport, endoplasmic reticular"
11DOCRTSTRNtm,"11-deoxycorticosterone intracellular transport","Transport, mitochondrial"
11DOCRTSTRNtr,"11-deoxycorticosterone intracellular transport","Transport, endoplasmic reticular"
13DAMPPOX,"1,3-Diaminopropane:oxygen oxidoreductase (deaminating)","beta-Alanine metabolism"
1MNCAMti,"N1-Methylnicotinamide transport","Transport, extracellular"
1PPDCRp,"delta1-piperideine-2-carboxylate reductase, perixosomal","Lysine metabolism"
24_25DHVITD2t,"24,25-Dihydroxyvitamin D2 transport from cytoplasm","Transport, extracellular"
24_25DHVITD2tm,"24,25-Dihydroxyvitamin D2 transport from mitochondria","Transport, mitochondrial"
24_25DHVITD3t,"24,25-Dihydroxyvitamin D3 transport from cytoplasm","Transport, extracellular"
24_25DHVITD3tm,"24,25-Dihydroxyvitamin D3 transport from mitochondria","Transport, mitochondrial"
24_25VITD2Hm,"24R-Vitamin D-25-hydroxylase (D2)","Vitamin D metabolism"
24_25VITD3Hm,"24R-Vitamin D-25-hydroxylase (D3)","Vitamin D metabolism"
24NPHte,"xenobiotic transport","Transport, extracellular"
25HVITD2t,"25-hydroxyvitamin D2 transport from cytoplasm","Transport, extracellular"
25HVITD2tin,"25-hydroxyvitamin D2 transport in cytoplasm","Transport, extracellular"
25HVITD2tin_m,"25-hydroxyvitamin D2 transport in mitochondria","Transport, mitochondrial"
25HVITD2tm,"25-hydroxyvitamin D2 transport from mitochondria","Transport, mitochondrial"
25HVITD3t,"25-hydroxyvitamin D3 transport from cytoplasm","Transport, extracellular"
25HVITD3tin,"25-hydroxyvitamin D3 transport in cytoplasm","Transport, extracellular"
25HVITD3tin_m,"25-hydroxyvitamin D3 transport in mitochondria","Transport, mitochondrial"
25HVITD3tm,"25-hydroxyvitamin D3 transport from mitochondria","Transport, mitochondrial"
2AMACHYD,"2-Aminoacrylate hydrolysis","Glycine, serine, alanine and threonine metabolism"
2AMACSULT,"2-Aminoacrylate sulfotransferase","Methionine and cysteine metabolism"
2AMADPTm,"L-2-aminoadipate shuttle (cytosol/mitochondria)","Lysine metabolism"
2DR1PP,"2-deoxy-D-ribose 1-phosphate phosphorylase","Pyrimidine catabolism"
2HBO,"2-Hydroxybutyrate:NAD+ oxidoreductase","Propanoate metabolism"
2HBt2,"2-hydroxybutyrate cotransport with proton","Transport, extracellular"
2HCO3_NAt,"bicarbonate transport (Na/HCO3 1:2 cotransport)","Transport, extracellular"
2MCITt,"2-methylcitrate transport via diffusion","Transport, extracellular"
2OXOADOXm,"2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria)","Lysine metabolism"
2OXOADPTm,"2-oxoadipate shuttle (cytosol/mitochondria)","Tryptophan metabolism"
34DHOXPEGOX,"3,4-Dihydroxyphenylethyleneglycol:NAD+ oxidoreductase","Tyrosine metabolism"
34DHOXPEGt,"3,4-Dihydroxyphenylethyleneglycol transport (diffusion)","Transport, extracellular"
34DHPHEt,"3,4-Dihydroxy-L-phenylalanine transport","Transport, extracellular"
34DHPLACOX,"3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase","Tyrosine metabolism"
34DHPLACOX_NADP_,"3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase","Tyrosine metabolism"
34DHXMANDACOX,"3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase","Tyrosine metabolism"
34DHXMANDACOX_NADP_,"3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase","Tyrosine metabolism"
34HPLFM,"3-(4-hydroxyphenyl-)lactate formation","Ubiquinone synthesis"
34HPPOR,"4-Hydroxyphenylpyruvate:oxygen oxidoreductase","Tyrosine metabolism"
35CGMPtn,"35cGMP nuclear transport","Transport, nuclear"
3AIBt,"3-amino-isobutyrate transport","Transport, extracellular"
3AIBTm,"L-3-aminoisobutyrate transaminase, mitochondrial","Valine, leucine, and isoleucine metabolism"
3AIBtm,"3-amino-isobutyrate transport, mitochondrial","Transport, mitochondrial"
3DPHBH1,"Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADH)","Ubiquinone synthesis"
3DPHBH2,"Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADPH)","Ubiquinone synthesis"
3DSPHR,"3-Dehydrosphinganine reductase","Sphingolipid metabolism"
3HAO,"3-hydroxyanthranilate 3,4-dioxygenase","Tryptophan metabolism"
3HBCDm,"3-hydroxybutyryl-CoA dehydratase, mitochondrial","Butanoate metabolism"
