,Gene_Symbol,Drugs,Drugs_Action,Phenotype_Safety,Phenotype_Essentiality,Drugs_Group,Gene_Categories,ATC_Code,Gene_Categories,Drugs_Categories,side_effect_name,Meddra_Indication
0,GUK1,Valaciclovir,substrate,3.0,16.0,approved|investigational,enzyme,J05AB11,enzyme,"Acyclovir and prodrug|Amino Acids|Amino Acids, Branched-Chain|Amino Acids, Essential|Amino Acids, Peptides, and Proteins|Anti-Infective Agents|Antiinfectives for Systemic Use|Antiviral Agents|Antivirals for Systemic Use|Direct Acting Antivirals|Drugs that are Mainly Renally Excreted|Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor|Herpes Zoster Virus Nucleoside Analog DNA Polymerase Inhibitor|Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor|Heterocyclic Compounds, Fused-Ring|Nephrotoxic agents|Nucleic Acid Synthesis Inhibitors|Nucleosides and Nucleotides|Nucleosides and Nucleotides Excl. Reverse Transcriptase Inhibitors|OAT3/SLC22A8 Substrates|Prodrugs|Purines|Purinones",,"['Congenital herpes simplex infection', 'Dermatitis', 'Genital herpes', 'Herpes simplex', 'Herpes virus infection', 'Herpes zoster', 'Herpes zoster disseminated', 'Immunodeficiency', 'Infection', 'Ophthalmic herpes zoster', 'Opportunistic infection', 'Oral herpes', 'Pain', 'Papule', 'Post herpetic neuralgia', 'Rash', 'Renal failure', 'Renal impairment', 'Sexually transmitted disease', 'Transplant rejection', 'Ulcer', 'Varicella']"
1,GUK1,Acyclovir,substrate,3.0,16.0,approved,enzyme,J05AB01|D06BB03|S01AD03|D06BB53,enzyme,"Acyclovir and prodrug|Anti-Infective Agents|Antiinfectives for Systemic Use|Antiviral Agents|Antivirals for Systemic Use|Cytochrome P-450 CYP1A2 Substrates|Cytochrome P-450 Substrates|Dermatologicals|Direct Acting Antivirals|Drugs that are Mainly Renally Excreted|Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor|Herpes Zoster Virus Nucleoside Analog DNA Polymerase Inhibitor|Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor|Heterocyclic Compounds, Fused-Ring|MATE 1 Substrates|MATE 2 Substrates|MATE substrates|Nephrotoxic agents|Nucleic Acid Synthesis Inhibitors|Nucleosides and Nucleotides|Nucleosides and Nucleotides Excl. Reverse Transcriptase Inhibitors|OAT1/SLC22A6 inhibitors|OAT1/SLC22A6 Substrates|OAT3/SLC22A8 Inhibitors|OAT3/SLC22A8 Substrates|OCT1 inhibitors|OCT1 substrates|Ophthalmologicals|Purines|Purinones|Sensory Organs",,"['Acquired immunodeficiency syndrome', 'Autoimmune disorder', 'Body temperature increased', 'Congenital herpes simplex infection', 'Cytomegalovirus infection', 'Dermatitis', 'Drug interaction', 'Eczema', 'Fatigue', 'Genital herpes', 'Herpes simplex', 'Herpes simplex encephalitis', 'Herpes virus infection', 'Herpes zoster', 'Herpes zoster disseminated', 'Hypersensitivity', 'Immunodeficiency', 'Infection', 'Iridocyclitis', 'Keratitis', 'Meningoencephalitis herpetic', 'Ophthalmic herpes simplex', 'Ophthalmic herpes zoster', 'Oral herpes', 'Pain', 'Papule', 'Post herpetic neuralgia', 'Pregnancy', 'Rash', 'Renal failure', 'Renal failure chronic', 'Renal impairment', 'Scab', 'Sexually transmitted disease', 'Ulcer', 'Varicella', 'Viraemia', 'Viral infection']"
3,ISYNA1,Glycerin,,1.0,9.0,approved|investigational,target,A06AX01|A06AG04,target,"Alcohols|Alimentary Tract and Metabolism|Basic Ointments and Protectants|Carbohydrates|Cell-mediated Immunity|Compounds used in a research, industrial, or household setting|Cryoprotective Agents|Cytochrome P-450 CYP2E1 Inducers|Cytochrome P-450 CYP2E1 Inducers (strength unknown)|Cytochrome P-450 Enzyme Inducers|Drugs for Constipation|Enemas|Increased Histamine Release|Increased IgG Production|Irrigating Solutions|Laxatives|Non-Standardized Chemical Allergen|Osmotic Laxatives|Other Cold and Cough Preparations|Other Diagnostics|Protective Agents|Solvents|Sugar Alcohols|Triose Sugar Alcohols",,
7,SLC7A11,Riluzole,inducer,1.0,5.0,approved|investigational,target,N07XX02,target,"Anticonvulsants|BCRP/ABCG2 Substrates|Benzothiazoles|Central Nervous System Agents|Central Nervous System Depressants|Compounds used in a research, industrial, or household setting|Cytochrome P-450 CYP1A2 Substrates|Cytochrome P-450 Substrates|Excitatory Amino Acid Agents|Excitatory Amino Acid Antagonists|Heterocyclic Compounds, Fused-Ring|Miscellaneous Central Nervous System Agents|Nervous System|Neuroprotective Agents|Neurotransmitter Agents|Protective Agents|Sulfur Compounds|Thiazoles",,"['Amyotrophic lateral sclerosis', 'Lower motor neurone lesion', 'Motor neurone disease', 'Neurodegenerative disorder']"
10,SLC7A11,Taurocholic acid,,1.0,5.0,approved|experimental,transporter,,transporter,"Acids|Acids, Noncarboxylic|Alkanes|Alkanesulfonic Acids|BCRP/ABCG2 Inhibitors|Bile Acids and Salts|BSEP/ABCB11 inducers|BSEP/ABCB11 Substrates|Cholagogues and Choleretics|Cholanes|Cholic Acids|Compounds used in a research, industrial, or household setting|Detergents|Fused-Ring Compounds|Gastrointestinal Agents|Household Products|Hydrocarbons, Acyclic|OAT1/SLC22A6 inhibitors|OAT1/SLC22A6 Substrates|OAT3/SLC22A8 Inhibitors|OAT3/SLC22A8 Substrates|OATP1B1/SLCO1B1 Inducers|OATP1B1/SLCO1B1 Inhibitors|OATP1B1/SLCO1B1 Substrates|OATP1B3 substrates|P-glycoprotein inhibitors|P-glycoprotein substrates|Steroids|Sulfonic Acids|Sulfur Acids|Sulfur Compounds|Surface-Active Agents",,
11,SLC7A11,Alanosine,,1.0,5.0,investigational,transporter,,transporter,"Amino Acids|Amino Acids, Peptides, and Proteins|Antibiotics, Antineoplastic|Antineoplastic Agents|Chelating Agents|Compounds used in a research, industrial, or household setting|Sequestering Agents",,
12,SLC7A11,Thimerosal,antagonist,1.0,5.0,approved,target,D08AK06,target,"Alkylmercury Compounds|Antiseptics and Disinfectants|Cell-mediated Immunity|Compounds used in a research, industrial, or household setting|Dermatologicals|Ethylmercury Compounds|Increased Histamine Release|Mercurial Products|Organomercury Compounds|Organometallic Compounds|Pharmaceutic Aids|Pharmaceutical Preparations|Preservatives, Pharmaceutical|Standardized Chemical Allergen",,
13,SLC7A11,Tauroursodeoxycholic acid,,1.0,5.0,experimental|investigational,transporter,,transporter,"Acids|Acids, Noncarboxylic|Alkanes|Alkanesulfonic Acids|Anti-Infective Agents|Bile Acids and Salts|Cholagogues and Choleretics|Cholanes|Cholic Acids|Fused-Ring Compounds|Gastrointestinal Agents|Hydrocarbons, Acyclic|Isomerism|Steroids|Sulfonic Acids|Sulfur Acids|Sulfur Compounds|Taurodeoxycholic Acid",,
14,SLC7A11,Rosuvastatin,,1.0,5.0,approved,transporter,C10BX10|C10BX05|C10BX07|C10AA07|A10BH52|G01AE10|C10BX13|C10BX09|C10BX14|C10BA06,transporter,"Agents Causing Muscle Toxicity|Alimentary Tract and Metabolism|Amides|Anticholesteremic Agents|BCRP/ABCG2 Substrates|Benzene Derivatives|BSEP/ABCB11 Substrates|Cytochrome P-450 CYP2C9 Substrates|Cytochrome P-450 CYP3A Inhibitors|Cytochrome P-450 CYP3A Substrates|Cytochrome P-450 CYP3A4 Substrates|Cytochrome P-450 CYP3A4 Substrates (strength unknown)|Cytochrome P-450 CYP3A5 Inhibitors|Cytochrome P-450 CYP3A5 Substrates|Cytochrome P-450 Enzyme Inhibitors|Cytochrome P-450 Substrates|Drugs Used in Diabetes|Enzyme Inhibitors|Fluorobenzenes|Genito Urinary System and Sex Hormones|Gynecological Antiinfectives and Antiseptics|Hydrocarbons, Fluorinated|Hydrocarbons, Halogenated|Hydroxymethylglutaryl-CoA Reductase Inhibitors|Hypolipidemic Agents|Lipid Modifying Agents|Lipid Modifying Agents, Plain|Lipid Regulating Agents|Noxae|OAT3/SLC22A8 Inhibitors|OAT3/SLC22A8 Substrates|OATP1B1/SLCO1B1 Inhibitors|OATP1B1/SLCO1B1 Substrates|Pyrimidines|Sulfonamides|Sulfones|Sulfur Compounds|Toxic Actions",,
15,SLC7A11,Acetylcysteine,activator,1.0,5.0,approved|investigational,target,R05CB01|S01XA08|V03AB23,target,"Amino Acids|Amino Acids, Neutral|Amino Acids, Peptides, and Proteins|Amino Acids, Sulfur|Anti-Infective Agents|Antidote for Acetaminophen Overdose|Antidotes|Antioxidants|Compounds used in a research, industrial, or household setting|Cough and Cold Preparations|Cysteine|Decreased Respiratory Secretion Viscosity|Expectorants|Free Radical Scavengers|Increased Glutathione Concentration|OATP1B1/SLCO1B1 Inhibitors|Ophthalmologicals|Protective Agents|Reduction Activity|Respiratory System Agents|Sensory Organs|Sulfhydryl Compounds|Sulfur Compounds",,"['Aspartate aminotransferase increased', 'Asthma', 'Atelectasis', 'Bronchiectasis', 'Bronchitis', 'Bronchopulmonary disease', 'Bronchospasm', 'Cystic fibrosis', 'Emphysema', 'Hepatotoxicity', 'Liver injury', 'Pneumonia', 'Pneumothorax', 'Primary amyloidosis', 'Rash', 'Tracheobronchitis', 'Traumatic liver injury', 'Tuberculosis']"
