,Gene_Symbol,Drugs,Drugs_Action,Phenotype_Safety,Phenotype_Essentiality,Drugs_Group,Gene_Categories,ATC_Code,Gene_Categories.1,Drugs_Categories,side_effect_name,Meddra_Indication,ferrdb_classification
3,SLC7A11,Riluzole,inducer,1.0,5.0,approved|investigational,target,N07XX02,target,"Anticonvulsants|BCRP/ABCG2 Substrates|Benzothiazoles|Central Nervous System Agents|Central Nervous System Depressants|Compounds used in a research, industrial, or household setting|Cytochrome P-450 CYP1A2 Substrates|Cytochrome P-450 Substrates|Excitatory Amino Acid Agents|Excitatory Amino Acid Antagonists|Heterocyclic Compounds, Fused-Ring|Miscellaneous Central Nervous System Agents|Nervous System|Neuroprotective Agents|Neurotransmitter Agents|Protective Agents|Sulfur Compounds|Thiazoles",,"['Amyotrophic lateral sclerosis', 'Lower motor neurone lesion', 'Motor neurone disease', 'Neurodegenerative disorder']",Suppressor
4,SLC7A11,Taurocholic acid,,1.0,5.0,approved|experimental,transporter,,transporter,"Acids|Acids, Noncarboxylic|Alkanes|Alkanesulfonic Acids|BCRP/ABCG2 Inhibitors|Bile Acids and Salts|BSEP/ABCB11 inducers|BSEP/ABCB11 Substrates|Cholagogues and Choleretics|Cholanes|Cholic Acids|Compounds used in a research, industrial, or household setting|Detergents|Fused-Ring Compounds|Gastrointestinal Agents|Household Products|Hydrocarbons, Acyclic|OAT1/SLC22A6 inhibitors|OAT1/SLC22A6 Substrates|OAT3/SLC22A8 Inhibitors|OAT3/SLC22A8 Substrates|OATP1B1/SLCO1B1 Inducers|OATP1B1/SLCO1B1 Inhibitors|OATP1B1/SLCO1B1 Substrates|OATP1B3 substrates|P-glycoprotein inhibitors|P-glycoprotein substrates|Steroids|Sulfonic Acids|Sulfur Acids|Sulfur Compounds|Surface-Active Agents",,,Suppressor
5,SLC7A11,Alanosine,,1.0,5.0,investigational,transporter,,transporter,"Amino Acids|Amino Acids, Peptides, and Proteins|Antibiotics, Antineoplastic|Antineoplastic Agents|Chelating Agents|Compounds used in a research, industrial, or household setting|Sequestering Agents",,,Suppressor
6,SLC7A11,Thimerosal,antagonist,1.0,5.0,approved,target,D08AK06,target,"Alkylmercury Compounds|Antiseptics and Disinfectants|Cell-mediated Immunity|Compounds used in a research, industrial, or household setting|Dermatologicals|Ethylmercury Compounds|Increased Histamine Release|Mercurial Products|Organomercury Compounds|Organometallic Compounds|Pharmaceutic Aids|Pharmaceutical Preparations|Preservatives, Pharmaceutical|Standardized Chemical Allergen",,,Suppressor
7,SLC7A11,Tauroursodeoxycholic acid,,1.0,5.0,experimental|investigational,transporter,,transporter,"Acids|Acids, Noncarboxylic|Alkanes|Alkanesulfonic Acids|Anti-Infective Agents|Bile Acids and Salts|Cholagogues and Choleretics|Cholanes|Cholic Acids|Fused-Ring Compounds|Gastrointestinal Agents|Hydrocarbons, Acyclic|Isomerism|Steroids|Sulfonic Acids|Sulfur Acids|Sulfur Compounds|Taurodeoxycholic Acid",,,Suppressor
8,SLC7A11,Rosuvastatin,,1.0,5.0,approved,transporter,C10BX10|C10BX05|C10BX07|C10AA07|A10BH52|G01AE10|C10BX13|C10BX09|C10BX14|C10BA06,transporter,"Agents Causing Muscle Toxicity|Alimentary Tract and Metabolism|Amides|Anticholesteremic Agents|BCRP/ABCG2 Substrates|Benzene Derivatives|BSEP/ABCB11 Substrates|Cytochrome P-450 CYP2C9 Substrates|Cytochrome P-450 CYP3A Inhibitors|Cytochrome P-450 CYP3A Substrates|Cytochrome P-450 CYP3A4 Substrates|Cytochrome P-450 CYP3A4 Substrates (strength unknown)|Cytochrome P-450 CYP3A5 Inhibitors|Cytochrome P-450 CYP3A5 Substrates|Cytochrome P-450 Enzyme Inhibitors|Cytochrome P-450 Substrates|Drugs Used in Diabetes|Enzyme Inhibitors|Fluorobenzenes|Genito Urinary System and Sex Hormones|Gynecological Antiinfectives and Antiseptics|Hydrocarbons, Fluorinated|Hydrocarbons, Halogenated|Hydroxymethylglutaryl-CoA Reductase Inhibitors|Hypolipidemic Agents|Lipid Modifying Agents|Lipid Modifying Agents, Plain|Lipid Regulating Agents|Noxae|OAT3/SLC22A8 Inhibitors|OAT3/SLC22A8 Substrates|OATP1B1/SLCO1B1 Inhibitors|OATP1B1/SLCO1B1 Substrates|Pyrimidines|Sulfonamides|Sulfones|Sulfur Compounds|Toxic Actions",,,Suppressor
9,SLC7A11,Acetylcysteine,activator,1.0,5.0,approved|investigational,target,R05CB01|S01XA08|V03AB23,target,"Amino Acids|Amino Acids, Neutral|Amino Acids, Peptides, and Proteins|Amino Acids, Sulfur|Anti-Infective Agents|Antidote for Acetaminophen Overdose|Antidotes|Antioxidants|Compounds used in a research, industrial, or household setting|Cough and Cold Preparations|Cysteine|Decreased Respiratory Secretion Viscosity|Expectorants|Free Radical Scavengers|Increased Glutathione Concentration|OATP1B1/SLCO1B1 Inhibitors|Ophthalmologicals|Protective Agents|Reduction Activity|Respiratory System Agents|Sensory Organs|Sulfhydryl Compounds|Sulfur Compounds",,"['Aspartate aminotransferase increased', 'Asthma', 'Atelectasis', 'Bronchiectasis', 'Bronchitis', 'Bronchopulmonary disease', 'Bronchospasm', 'Cystic fibrosis', 'Emphysema', 'Hepatotoxicity', 'Liver injury', 'Pneumonia', 'Pneumothorax', 'Primary amyloidosis', 'Rash', 'Tracheobronchitis', 'Traumatic liver injury', 'Tuberculosis']",Suppressor
10,SLC7A11,Sulfasalazine,inhibitor,1.0,5.0,approved,target,A07EC01|G01AE10,target,"Agents causing hyperkalemia|Agents that produce hypertension|Alimentary Tract and Metabolism|Amides|Aminosalicylate|Analgesics|Analgesics, Non-Narcotic|Anti-Infective Agents|Anti-Inflammatory Agents|Anti-Inflammatory Agents, Non-Steroidal|Anti-Inflammatory Agents, Non-Steroidal (Non-Selective)|Antidiarrheals, Intestinal Antiinflammatory/antiinfective Agents|Antirheumatic Agents|BCRP/ABCG2 Inhibitors|BCRP/ABCG2 Substrates|Central Nervous System Agents|Gastrointestinal Agents|Genito Urinary System and Sex Hormones|Gynecological Antiinfectives and Antiseptics|Immunosuppressive Agents|Intestinal Antiinflammatory Agents|Methemoglobinemia Associated Agents|Nephrotoxic agents|Non COX-2 selective NSAIDS|OATP1B1/SLCO1B1 Inhibitors|OATP1B3 inhibitors|Peripheral Nervous System Agents|Salicylates|Sensory System Agents|Sulfonamides|Sulfones|Sulfur Compounds",,,Suppressor
14,SLC7A5,Dextrothyroxine,,1.0,3.0,approved|investigational,transporter,C10AX01,transporter,"Amino Acids|Amino Acids, Aromatic|Amino Acids, Cyclic|Amino Acids, Peptides, and Proteins|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Lipid Modifying Agents|Lipid Modifying Agents, Plain",,"['Acute myocardial infarction', 'Adrenal insufficiency', 'Atrophy', 'Autoimmune thyroiditis', 'Congenital anomaly', 'Follicular thyroid cancer', 'Goitre', 'Hypersensitivity', 'Hyperthyroidism', 'Hypothyroidism', 'Myxoedema coma', 'Neoplasm malignant', 'Primary hypothyroidism', 'Thyroid disorder', 'Thyroid neoplasm', 'Thyroiditis', 'Thyroiditis subacute', 'Tri-iodothyronine normal']",Marker
15,SLC7A5,Pregabalin,,1.0,3.0,approved|investigational,transporter,N03AX16,transporter,"Acids, Acyclic|Agents causing angioedema|Amino Acids|Amino Acids, Peptides, and Proteins|Aminobutyrates|Analgesics|Anti-Anxiety Agents|Antiarrhythmic agents|Anticonvulsants|Bradycardia-Causing Agents|Butyrates|Central Nervous System Agents|Central Nervous System Depressants|Drugs that are Mainly Renally Excreted|Hypoglycemia-Associated Agents|Membrane Transport Modulators|Miscellaneous Anticonvulsants|Muscle Relaxants|Muscle Relaxants, Centrally Acting Agents|Nervous System|Peripheral Nervous System Agents|Potential QTc-Prolonging Agents|Psychotropic Drugs|QTc Prolonging Agents|Sensory System Agents|Tranquilizing Agents|Vasodilating Agents",['Digitalis intoxication (NOS)'],"['Convulsion', 'Diabetic neuropathy', 'Epilepsy', 'Fibromyalgia', 'Generalised anxiety disorder', 'Neuralgia', 'Partial seizures', 'Post herpetic neuralgia', 'Renal failure', 'Renal impairment', 'Spinal cord injury']",Marker
