genes,H1299_polyA_S2-24h-A,H1299_polyA_S2-24h-B
ETV5-AS1,0.0,0.0
LINC01299,0.0,0.0
MLLT3,4.287,4.033
SCGB3A2,0.0,0.0
SEPT10P1,2.09,1.429
POTEKP,1.07,1.319
PPFIA4,0.16699999999999998,0.125
ECH1,41.611999999999995,39.683
AC131009.2,0.0,0.057999999999999996
AL590762.1,2.6630000000000003,2.909
LHX4,0.266,0.251
LSP1,0.0,0.0
ZNF175,0.851,0.805
SPCS2P3,0.0,0.0
SDCBP2P1,0.0,0.0
HELLPAR,0.021,0.026000000000000002
TRUB1,10.324000000000002,10.811
AC137770.1,0.0,0.0
AP001324.3,0.0,0.0
RPL10P7,0.0,0.0
ITPKC,11.713,12.003
MIR5192,0.0,0.0
AL671762.1,39.909,39.398
HYAL1,0.0,0.015
UGT2B15,0.0,0.0
SLC5A9,0.0,0.0
LINC01880,0.0,0.0
TMEM200A,6.999,7.056
PRPF4B,23.75,24.943
AL137077.1,0.161,0.085
FADS2,1.96,1.909
CARD14,0.004,0.0
AL353608.4,0.0,0.0
CCDC190,0.0,0.0
AC021713.1,0.0,0.0
SPATA45,0.0,0.08900000000000001
HOXA2,0.037000000000000005,0.0
RNU6-892P,0.0,0.0
AC079768.1,0.9590000000000001,0.568
SNRPE,14.484000000000002,15.103
AC079834.2,0.0,0.0
AC011498.4,0.024,0.037000000000000005
HNRNPA1,225.93,225.377
PPP2R2A,8.247,7.827999999999999
ATP2C2-AS1,0.469,0.374
TNRC18P1,0.012,0.0
AOX3P-AOX2P,0.0,0.0
IRAK3,0.23399999999999999,0.276
ZFAND1,21.154,21.773000000000003
CYP4F9P,0.0,0.0
IRAK1,99.037,98.311
WFIKKN2,0.0,0.011000000000000001
DUSP15,0.629,0.521
UBE2S,42.58,42.93600000000001
NCOA1,4.595,4.751
AC087516.2,0.0,0.0
DDX10,7.63,7.91
SPA17,4.887,4.906000000000001
AL136099.1,0.0,0.0
AP006216.1,0.102,0.536
CDK19,6.605,6.733
KCNA7,0.039,0.092
RN7SL468P,0.0,0.0
CCDC124,111.51700000000001,111.88
GDNF-AS1,0.0,0.0
CCT6P4,0.027000000000000003,0.027999999999999997
LINC02292,0.0,0.0
EIF6,194.627,190.915
SMIM29,8.562999999999999,9.548
GPR155,0.466,0.503
CD27,0.0,0.032
LINC01887,0.05,0.0
NUP58,9.797,9.39
AC019257.9,0.0,0.0
AMER3,0.0,0.0
MIR548AA1,0.0,0.0
AC116049.2,0.0,0.0
RPP38,8.699,8.208
NRG1,0.789,0.745
PLEKHO1,3.1239999999999997,3.08
AC007494.1,0.0,0.059000000000000004
AL022237.1,0.11900000000000001,0.0
MYO5B,0.728,0.6920000000000001
PABPC1,669.6439999999999,668.173
DISC1,0.094,0.10400000000000001
SLC1A2,0.0,0.0
AC244517.6,0.23600000000000002,0.213
AC093567.1,0.292,0.461
FGFR4,2.3480000000000003,1.819
AL022334.1,0.0,0.026000000000000002
AP001330.5,0.311,0.655
AL023803.3,0.08199999999999999,0.172
MIR3196,0.0,0.0
RN7SL192P,0.285,0.15
PECAM1,0.011000000000000001,0.0
DEPDC1,24.084,24.741
MAS1,0.0,0.0
MRPL55,8.811,7.781000000000001
AC010255.1,0.0,0.061
AC114763.1,0.617,0.342
ZNF132,0.086,0.052000000000000005
MYPOP,3.113,2.9589999999999996
STEAP2-AS1,0.035,0.07400000000000001
RPL12P17,0.0,0.0
ADH5,34.598,32.86
SNX19,8.044,7.641
SETP16,0.0,0.0
RF00322,0.0,0.0
LINC01448,0.146,0.077
BAHCC1,2.407,2.418
TMEM106C,44.977,44.566
PRDX3P1,0.055999999999999994,0.0
RNU6-287P,0.0,0.0
RNU6-1241P,0.0,0.0
LINC02397,0.0,0.0
AC012368.1,0.017,0.0
PRDM8,6.12,6.006
UTRN,21.72,22.546
LINC01342,0.0,0.0
AP000813.1,0.0,0.0
PACRG,0.016,0.0
CDC20P1,12.357000000000001,12.805
AC091868.1,0.0,0.0
AC008581.1,0.0,0.11699999999999999
TUSC1,0.0,0.0
HAUS1,22.683000000000003,22.978
MIP,0.012,0.032
TPSAB1,0.0,0.0
AC048344.4,4.69,5.535
AC068647.2,0.0,0.0
PDIA3P1,5.166,5.151
AL390955.1,0.0,0.096
ATP6V1H,13.308,12.969000000000001
AC021766.1,0.0,0.0
EDARADD,0.331,0.327
AL137246.1,0.0,0.0
AC133565.1,0.0,0.0
BX649632.1,0.087,0.23
OSBPL8,18.424,19.052
AL122035.2,0.046,0.048
EEF1GP5,0.033,0.0
AC010531.7,0.0,0.0
AC009812.1,1.4140000000000001,1.476
TTC16,0.006999999999999999,0.021
AC012513.3,3.705,3.839
AC244502.2,0.0,0.0
TTF1,13.068,12.842
STK3,2.738,2.556
LINC00052,0.0,0.0
SETDB1,6.999,6.763
AC069549.1,0.0,0.0
AC016582.2,3.511,4.262
AC134349.2,0.281,0.19699999999999998
AC009411.2,0.0,0.0
RF00019,0.0,0.0
GYS2,0.0,0.05
AL160286.3,0.0,0.0
DENND1A,3.7560000000000002,3.907
LINC01608,12.126,12.174000000000001
TRBV9,0.0,0.0
LAMP5,0.0,0.0
AL139424.3,0.0,0.0
LINC02272,0.0,0.0
NMB,13.342,11.065
XKRX,0.013000000000000001,0.0
ERGIC1,7.655,7.247999999999999
HLA-A,66.322,65.507
CNFN,2.155,1.903
RNU7-195P,0.0,0.0
RNU105B,0.0,0.0
AC239859.6,3.4010000000000002,2.95
MTND1P32,0.0,0.0
AL035250.1,0.0,0.0
AC015802.1,0.0,0.0
AC137723.1,0.214,0.0
COPE,45.775,44.43899999999999
RF00019,0.0,0.0
LINC02299,0.0,0.0
ASCL2,0.0,0.0
NUPL2,6.296,5.795
AC093668.1,0.805,0.68
AC007842.1,1.254,1.541
AC084364.2,0.0,0.0
MIR645,0.45299999999999996,0.47700000000000004
AL137220.1,0.0,0.0
RF00019,0.0,0.0
TENT2,4.68,4.774
RSPH3,4.546,4.391
AC096751.2,0.0,0.0
TGIF2P1,0.062,0.0
RF00019,0.0,0.0
SP8,0.034,0.07200000000000001
RBL2,7.329,7.329
MIR590,3.514,2.313
TP53TG5,0.028999999999999998,0.015
AC012447.1,1.0,1.053
MAGEA8-AS1,0.0,0.0
RF00019,0.0,0.0
AKTIP,1.829,1.736
COQ10A,3.534,3.57
ZNF502,0.0,0.013999999999999999
NUDT19P5,0.0,0.0
WDTC1,7.894,7.827000000000001
AC108112.1,0.0,0.0
PANK4,6.322,6.149
LGALSL,2.481,1.9969999999999999
RPL36P4,0.0,0.0
AL121820.2,0.0,0.0
AC026412.2,0.555,0.626
RARRES2P11,0.0,0.0
AHNAK,64.365,69.069
AC091152.4,0.128,0.129
COX6B1,190.49599999999998,180.69400000000002
AL441883.1,1.672,1.847
AL109767.1,0.0,0.0
AL031659.1,0.0,0.0
P3H2,6.132000000000001,6.225
RN7SKP276,0.318,0.0
CEBPA,0.541,0.569
ZNF22,10.111,11.139000000000001
PDE11A,0.005,0.011000000000000001
NDUFB4P9,0.0,0.0
TLN1,54.625,55.707
ELMO3,2.1180000000000003,1.9
ADD3-AS1,0.009000000000000001,0.01
SULT1E1,0.08199999999999999,0.172
UGDH,26.296999999999997,25.655
DPM3,26.511999999999997,27.272
MOB4,9.531,9.231
LINC01124,0.161,0.14800000000000002
AL590666.4,0.0,0.0
AC073091.2,0.0,0.0
AC107959.2,0.0,0.0
RPL9,109.319,105.03299999999999
AVIL,0.304,0.255
AC207130.1,0.0,0.019
TEX54,0.0,0.139
RNU1-72P,0.0,0.0
OR2M4,0.0,0.008
TMEM43,31.875,32.821999999999996
AC008280.1,0.0,0.0
PCSK6,0.23,0.244
AC115284.1,9.14,9.462
LINC02000,0.0,0.0
EID2,29.427,28.458000000000002
ELL,5.744,5.886
CDAN1,5.936,5.486000000000001
STAU2-AS1,0.0,0.0
PLSCR4,0.252,0.265
ATP5MC2P1,0.2,0.0
CTR9,15.782,15.765
MRPS33P3,0.0,0.0
AC091860.1,0.0,0.0
SLC51A,0.0,0.0
LINC00851,0.0,0.0
RNU1-87P,0.0,0.0
OGDHL,0.35700000000000004,0.439
CCR5,0.0,0.0
ZNF426-DT,0.24600000000000002,0.20800000000000002
AC093495.1,0.027000000000000003,0.027999999999999997
TERF2IP,40.852,41.185
TMPO-AS1,4.011,3.85
FAM90A27P,0.0,0.0
MT1HL1,0.0,0.0
MIR26A2,0.507,0.0
AL583722.1,0.065,0.034
DHRS4L2,0.927,0.758
BCL10,6.33,6.521
AP003108.2,1.4780000000000002,1.506
RF00012,0.0,0.0
RPS12P18,0.0,0.0
AC010186.1,0.0,0.253
LINC01731,0.10099999999999999,0.0
STAG3,14.364,14.845999999999998
MTMR7,0.012,0.032
LINC02273,0.0,0.021
EGFEM1P,0.11,0.17300000000000001
KRT18P12,0.0,0.035
FAM220A,5.2620000000000005,4.67
TM9SF1,6.271,5.643
ITGB3,0.529,0.5870000000000001
AC109492.1,0.0,0.0
AC034231.1,1.4280000000000002,0.836
AL596223.1,0.0,0.0
ERRFI1,222.262,223.995
TMEM198,0.595,0.853
KNSTRN,27.568,27.756
RNH1,27.899,26.455
SNORD58B,122.881,151.403
AP000350.1,0.0,0.0
RPL35P4,0.0,0.0
AC090615.1,0.0,0.0
AC092112.1,0.067,0.14
TPD52,19.529,19.324
MDH2,140.53,134.518
