genes,H1299_polyA_S2-36h-A,H1299_polyA_S2-36h-B,H1299_polyA_mock-36h-A,H1299_polyA_mock-36h-B
ETV5-AS1,0.0,0.0,0.0,0.0
LINC01299,0.0,0.0,0.0,0.0
MLLT3,3.8139999999999996,3.549,3.97,4.311
SCGB3A2,0.0,0.0,0.0,0.0
SEPT10P1,1.462,1.729,2.387,2.2680000000000002
POTEKP,0.7559999999999999,0.762,0.935,1.0170000000000001
PPFIA4,0.125,0.096,0.071,0.122
ECH1,43.626999999999995,42.986999999999995,44.599,41.34
AC131009.2,0.0,0.0,0.0,0.0
AL590762.1,2.248,2.147,2.8089999999999997,1.525
LHX4,0.249,0.27899999999999997,0.071,0.23800000000000002
LSP1,0.011000000000000001,0.0,0.0,0.0
ZNF175,0.843,0.855,0.871,1.058
SPCS2P3,0.0,0.0,0.0,0.0
SDCBP2P1,0.0,0.0,0.0,0.0
HELLPAR,0.023,0.015,0.024,0.031
TRUB1,10.556,9.899,10.934000000000001,11.039000000000001
AC137770.1,0.0,0.0,0.0,0.0
AP001324.3,0.0,0.0,0.0,0.0
RPL10P7,0.0,0.0,0.0,0.0
ITPKC,12.458,12.040999999999999,12.272,12.607999999999999
MIR5192,0.0,0.0,0.0,0.0
AL671762.1,39.054,37.765,40.791,37.646
HYAL1,0.0,0.0,0.0,0.0
UGT2B15,0.0,0.0,0.0,0.0
SLC5A9,0.0,0.0,0.0,0.0
LINC01880,0.0,0.0,0.0,0.0
TMEM200A,6.715,6.322,7.117999999999999,7.322
PRPF4B,20.823,22.473000000000003,22.685,22.809
AL137077.1,0.0,0.0,0.0,0.25
FADS2,2.447,2.362,2.444,2.432
CARD14,0.0,0.0,0.0,0.0
AL353608.4,0.0,0.0,0.0,0.0
CCDC190,0.0,0.0,0.0,0.0
AC021713.1,0.0,0.0,0.0,0.0
SPATA45,0.0,0.0,0.0,0.0
HOXA2,0.10400000000000001,0.066,0.0,0.0
RNU6-892P,0.0,0.0,0.0,0.0
AC079768.1,0.6829999999999999,0.5429999999999999,0.975,0.46299999999999997
SNRPE,16.019000000000002,13.487,15.377,14.698
AC079834.2,0.0,0.0,0.044000000000000004,0.0
AC011498.4,0.017,0.043,0.0,0.0
HNRNPA1,210.636,217.767,203.188,212.72
PPP2R2A,8.236,8.429,7.919,8.429
ATP2C2-AS1,0.20199999999999999,0.23199999999999998,0.318,0.374
TNRC18P1,0.0,0.0,0.024,0.0
AOX3P-AOX2P,0.0,0.0,0.0,0.0
IRAK3,0.358,0.27399999999999997,0.364,0.35600000000000004
ZFAND1,21.726,21.494,21.649,21.67
CYP4F9P,0.0,0.0,0.0,0.0
IRAK1,102.277,102.57700000000001,99.334,98.45200000000001
WFIKKN2,0.0,0.0,0.0,0.0
DUSP15,0.624,0.856,0.983,0.643
UBE2S,47.746,45.751000000000005,45.645,45.996
NCOA1,5.1739999999999995,5.4879999999999995,5.05,5.32
AC087516.2,0.0,0.0,0.0,0.0
DDX10,7.652,7.687,7.604,7.442
SPA17,5.025,4.928999999999999,4.928999999999999,4.785
AL136099.1,0.0,0.0,0.0,0.0
AP006216.1,0.579,0.184,0.207,0.157
CDK19,6.978,7.006,7.392,7.851
KCNA7,0.027999999999999997,0.0,0.04,0.06
RN7SL468P,0.0,0.0,0.0,0.0
CCDC124,114.54799999999999,115.529,113.708,106.585
GDNF-AS1,0.0,0.0,0.0,0.0
CCT6P4,0.076,0.0,0.0,0.040999999999999995
LINC02292,0.0,0.0,0.0,0.0
EIF6,187.418,182.389,189.27,180.021
SMIM29,8.619,8.242,10.591,9.322000000000001
GPR155,0.484,0.47700000000000004,0.58,0.441
CD27,0.0,0.0,0.0,0.0
LINC01887,0.0,0.0,0.0,0.0
NUP58,9.651,9.747,9.697000000000001,10.148
AC019257.9,0.0,0.026000000000000002,0.028999999999999998,0.0
AMER3,0.0,0.0,0.0,0.0
MIR548AA1,0.0,0.797,0.0,0.0
AC116049.2,0.0,0.0,0.0,0.0
RPP38,8.27,8.97,7.725,8.057
NRG1,0.8059999999999999,0.755,0.875,0.797
PLEKHO1,3.3510000000000004,3.3339999999999996,3.2430000000000003,2.778
AC007494.1,0.08,0.0,0.0,0.0
AL022237.1,0.0,0.0,0.0,0.0
MYO5B,0.557,0.603,0.64,0.755
PABPC1,703.503,691.755,685.295,728.785
DISC1,0.078,0.081,0.09699999999999999,0.133
SLC1A2,0.0,0.0,0.0,0.0
AC244517.6,0.337,0.163,0.13699999999999998,0.10400000000000001
AC093567.1,0.34600000000000003,0.705,0.395,0.376
FGFR4,2.12,2.057,2.487,2.274
AL022334.1,0.141,0.045,0.05,0.038
AP001330.5,0.44299999999999995,0.376,0.633,0.802
AL023803.3,0.233,0.14800000000000002,0.166,0.126
MIR3196,0.0,0.0,0.0,0.0
RN7SL192P,0.0,0.0,0.58,0.22
PECAM1,0.0,0.01,0.011000000000000001,0.009000000000000001
DEPDC1,24.928,26.677,24.723000000000003,26.928
MAS1,0.0,0.008,0.009000000000000001,0.0
MRPL55,8.399,7.909,7.399,7.79
AC010255.1,0.0,0.106,0.0,0.09
AC114763.1,0.508,0.41200000000000003,0.462,0.753
ZNF132,0.035,0.022000000000000002,0.125,0.019
MYPOP,2.209,2.9760000000000004,4.023,2.9189999999999996
STEAP2-AS1,0.0,0.0,0.07200000000000001,0.055
RPL12P17,0.0,0.0,0.0,0.0
ADH5,34.848,36.148,35.571999999999996,33.214
SNX19,7.497000000000001,7.962999999999999,7.943,7.977
SETP16,0.0,0.0,0.0,0.0
RF00322,0.0,0.0,0.0,0.0
LINC01448,0.363,0.066,0.14800000000000002,0.16899999999999998
BAHCC1,2.595,2.593,2.535,2.861
TMEM106C,41.461999999999996,44.413000000000004,42.702,40.689
PRDX3P1,0.159,0.10099999999999999,0.114,0.0
RNU6-287P,0.0,0.0,0.0,0.0
RNU6-1241P,0.0,0.0,0.0,0.0
LINC02397,0.0,0.0,0.0,0.0
AC012368.1,0.0,0.0,0.0,0.0
PRDM8,6.164,6.182,6.215,6.5920000000000005
UTRN,21.789,23.089000000000002,21.396,23.144000000000002
LINC01342,0.0,0.0,0.0,0.0
AP000813.1,0.016,0.0,0.0,0.0
PACRG,0.0,0.0,0.0,0.025
CDC20P1,12.785,13.859000000000002,12.25,13.046
AC091868.1,0.0,0.0,0.0,0.0
AC008581.1,0.0,0.0,0.0,0.0
TUSC1,0.03,0.0,0.0,0.0
HAUS1,25.031999999999996,24.436,26.383000000000003,21.828000000000003
MIP,0.034,0.054000000000000006,0.024,0.037000000000000005
TPSAB1,0.0,0.0,0.0,0.0
AC048344.4,6.91,5.132999999999999,5.5920000000000005,8.126
AC068647.2,0.11599999999999999,0.0,0.0,0.0
PDIA3P1,5.297999999999999,4.795,5.066,5.731
