genes,Calu3_polyA_series1-S2-12h-A,Calu3_polyA_series1-S2-12h-B,Calu3_polyA_series2-12h-S2-1,Calu3_polyA_series2-12h-S2-2,Calu3_polyA_series2-12h-mock-1,Calu3_polyA_series2-12h-mock-2
ETV5-AS1,0.0,0.0,0.0,0.0,0.0,0.0
LINC01299,0.0,0.0,0.0,0.0,0.0,0.0
MLLT3,6.26,7.553,7.444,7.683,5.784,6.053999999999999
SCGB3A2,0.0,0.0,0.0,0.0,0.0,0.0
SEPT10P1,0.922,0.86,0.634,0.547,0.8440000000000001,0.642
POTEKP,0.0,0.0,0.0,0.0,0.0,0.031
PPFIA4,0.0,0.026000000000000002,0.091,0.187,0.179,0.247
ECH1,37.02,37.516,65.358,61.06,83.039,82.79899999999999
AC131009.2,0.0,0.0,0.0,0.0,0.0,0.215
AL590762.1,2.0669999999999997,4.046,5.29,5.04,5.937,6.327999999999999
LHX4,0.028999999999999998,0.08199999999999999,0.09699999999999999,0.08900000000000001,0.012,0.027000000000000003
LSP1,0.0,0.0,0.027000000000000003,0.034,0.006999999999999999,0.015
ZNF175,2.0469999999999997,1.819,1.82,2.154,1.425,1.307
SPCS2P3,0.272,0.0,0.0,0.0,0.0,0.0
SDCBP2P1,0.0,0.0,0.0,0.0,0.0,0.0
HELLPAR,0.016,0.009000000000000001,0.008,0.004,0.009000000000000001,0.044000000000000004
TRUB1,10.716,11.100999999999999,7.742000000000001,7.537000000000001,10.522,9.113999999999999
AC137770.1,0.0,0.0,0.0,0.171,0.0,0.0
AP001324.3,0.0,0.0,0.0,0.0,0.0,0.0
RPL10P7,0.0,0.0,0.0,0.145,0.0,0.0
ITPKC,18.828,16.642,23.21,24.642,11.419,13.299000000000001
MIR5192,1.9409999999999998,0.0,0.0,0.0,0.0,0.0
AL671762.1,57.025,57.729,74.548,76.484,79.564,88.046
HYAL1,0.174,0.0,0.191,0.20600000000000002,0.098,0.107
UGT2B15,0.251,0.35100000000000003,0.9329999999999999,1.127,1.9269999999999998,2.2319999999999998
SLC5A9,0.0,0.0,0.033,0.02,0.0,0.11
LINC01880,0.0,0.0,0.0,0.0,0.0,0.0
TMEM200A,0.0,0.040999999999999995,0.0,0.0,0.0,0.0
PRPF4B,12.413,11.879000000000001,8.579,8.245,9.326,7.734
AL137077.1,0.33799999999999997,0.0,0.0,0.0,0.0,0.0
FADS2,0.871,0.6629999999999999,2.4130000000000003,2.072,2.852,2.555
CARD14,0.3,0.341,0.349,0.467,0.23800000000000002,0.34
AL353608.4,0.0,0.0,0.0,0.0,0.0,0.07
CCDC190,0.0,0.0,0.0,0.0,0.0,0.0
AC021713.1,0.0,0.0,0.0,0.0,0.0,0.0
SPATA45,0.0,0.0,0.0,0.09,0.0,0.16399999999999998
HOXA2,0.536,0.321,0.284,0.428,0.5820000000000001,0.5329999999999999
RNU6-892P,0.0,0.0,0.0,0.0,0.0,0.0
AC079768.1,0.753,0.0,0.415,1.659,0.743,0.583
SNRPE,20.516,18.368,25.835,26.912,35.87,43.32899999999999
AC079834.2,0.092,0.128,0.076,0.18600000000000003,0.077,0.17
AC011498.4,0.198,0.20800000000000002,0.266,0.151,0.669,0.322
HNRNPA1,81.264,79.28,105.046,111.65299999999999,107.43299999999999,112.485
PPP2R2A,23.183000000000003,22.177,17.461,17.779,11.372,11.03
ATP2C2-AS1,0.35700000000000004,0.33299999999999996,0.32,0.182,0.327,0.166
TNRC18P1,0.0,0.0,0.02,0.075,0.021,0.023
AOX3P-AOX2P,0.073,0.0,0.0,0.0,0.0,0.0
IRAK3,0.446,0.524,0.251,0.2,0.18899999999999997,0.273
ZFAND1,5.381,4.978,5.475,5.188,6.667999999999999,6.546
CYP4F9P,0.0,0.0,0.0,0.0,0.0,0.0
IRAK1,96.40799999999999,96.516,73.11,64.62,75.227,79.155
WFIKKN2,0.0,0.0,0.019,0.0,0.038,0.021
DUSP15,0.28300000000000003,0.066,0.078,0.12,0.04,0.066
UBE2S,24.941999999999997,24.087,24.755,26.611,33.07,38.473
NCOA1,2.089,1.764,1.486,1.5759999999999998,1.2229999999999999,1.151
AC087516.2,0.0,0.0,0.0,0.0,0.0,0.023
DDX10,5.539,6.412000000000001,3.906,4.185,3.875,3.966
SPA17,0.72,0.816,1.43,1.272,1.8259999999999998,1.814
AL136099.1,0.0,0.0,0.0,0.163,0.0,0.7440000000000001
AP006216.1,0.426,0.0,0.17600000000000002,0.0,0.18,0.593
CDK19,2.452,2.319,3.0660000000000003,3.3939999999999997,2.95,3.088
KCNA7,0.0,0.0,0.0,0.0,0.0,0.0
RN7SL468P,0.0,0.0,0.0,0.0,0.0,0.0
CCDC124,25.691,28.564,33.683,32.062,38.06,37.153
