genes,Calu3_polyA_series1-S2-24h-A,Calu3_polyA_series1-S2-24h-B,Calu3_polyA_series1-mock-24h-A,Calu3_polyA_series1-mock-24h-B
ETV5-AS1,0.8009999999999999,0.0,0.0,0.0
LINC01299,0.0,0.062,0.0,0.0
MLLT3,7.257999999999999,6.6610000000000005,6.33,5.974
SCGB3A2,0.0,0.0,0.0,0.0
SEPT10P1,0.579,0.8370000000000001,1.578,1.0270000000000001
POTEKP,0.0,0.0,0.0,0.0
PPFIA4,0.023,0.0,0.08800000000000001,0.168
ECH1,29.471999999999998,30.885,67.1,67.581
AC131009.2,0.0,0.0,0.085,0.0
AL590762.1,3.116,1.5,4.092,4.772
LHX4,0.07400000000000001,0.0,0.022000000000000002,0.009000000000000001
LSP1,0.042,0.03,0.0,0.01
ZNF175,2.966,2.535,1.555,1.6030000000000002
SPCS2P3,0.0,0.0,0.0,0.083
SDCBP2P1,0.0,0.0,0.0,0.0
HELLPAR,0.026000000000000002,0.024,0.021,0.03
TRUB1,11.16,9.994,12.536,12.24
AC137770.1,0.0,0.306,0.0,0.0
AP001324.3,0.0,0.0,0.0,0.0
RPL10P7,0.0,0.0,0.0,0.0
ITPKC,21.135,20.541,10.124,9.963
MIR5192,2.439,3.522,0.0,0.0
AL671762.1,46.48,42.867,47.699,48.059
HYAL1,0.0,0.105,0.17,0.08800000000000001
UGT2B15,0.315,0.228,1.258,0.7120000000000001
SLC5A9,0.0,0.0,0.057999999999999996,0.084
LINC01880,0.0,0.0,0.0,0.0
TMEM200A,0.0,0.0,0.011000000000000001,0.0
PRPF4B,13.044,11.456,11.792,11.770999999999999
AL137077.1,0.425,0.614,0.0,0.10300000000000001
FADS2,0.787,0.76,2.041,1.8430000000000002
CARD14,0.212,0.511,0.275,0.205
AL353608.4,0.0,0.0,0.0,0.0
CCDC190,0.0,0.0,0.0,0.0
AC021713.1,0.0,0.0,0.0,0.0
SPATA45,0.0,0.0,0.0,0.0
HOXA2,0.769,0.833,0.73,0.605
RNU6-892P,0.0,1.6369999999999998,0.6609999999999999,0.0
AC079768.1,1.578,0.228,0.368,1.068
SNRPE,18.986,16.358,22.729,23.03
