genes,H1299_polyA_S2-4h-A,H1299_polyA_S2-4h-B,H1299_polyA_mock-4h-A,H1299_polyA_mock-4h-B
ETV5-AS1,0.0,0.0,0.0,0.0
LINC01299,0.0,0.0,0.0,0.0
MLLT3,3.6860000000000004,3.822,3.75,3.82
SCGB3A2,0.0,0.0,0.0,0.0
SEPT10P1,2.015,1.278,1.867,1.5859999999999999
POTEKP,0.998,1.091,1.068,0.857
PPFIA4,0.126,0.046,0.057999999999999996,0.095
ECH1,41.138999999999996,41.568000000000005,43.23,40.535
AC131009.2,0.0,0.0,0.0,0.0
AL590762.1,2.9360000000000004,4.124,2.9160000000000004,4.724
LHX4,0.257,0.281,0.184,0.21600000000000003
LSP1,0.0,0.0,0.0,0.0
ZNF175,0.7829999999999999,0.871,0.935,0.79
SPCS2P3,0.0,0.0,0.0,0.0
SDCBP2P1,0.0,0.0,0.0,0.0
HELLPAR,0.028999999999999998,0.028999999999999998,0.03,0.035
TRUB1,9.692,10.355,10.073,10.737
AC137770.1,0.0,0.14,0.0,0.0
AP001324.3,0.0,0.0,0.0,0.0
RPL10P7,0.0,0.0,0.0,0.0
ITPKC,13.887,13.722000000000001,13.206,13.767000000000001
MIR5192,0.0,0.0,0.0,0.716
AL671762.1,36.882,37.683,37.941,38.205999999999996
HYAL1,0.079,0.024,0.045,0.107
UGT2B15,0.0,0.0,0.0,0.0
SLC5A9,0.0,0.0,0.0,0.0
LINC01880,0.0,0.0,0.0,0.0
TMEM200A,8.975,8.71,8.222999999999999,8.228
PRPF4B,22.677,23.71,23.374000000000002,23.837
AL137077.1,0.0,0.0,0.0,0.0
FADS2,1.6669999999999998,1.685,1.655,1.6130000000000002
CARD14,0.0,0.0,0.0,0.0
AL353608.4,0.0,0.0,0.0,0.0
CCDC190,0.0,0.0,0.0,0.0
AC021713.1,0.0,0.0,0.0,0.0
SPATA45,0.096,0.073,0.138,0.0
HOXA2,0.063,0.064,0.12,0.055999999999999994
RNU6-892P,0.493,0.0,0.0,0.0
AC079768.1,0.41200000000000003,0.731,0.295,0.37
SNRPE,14.73,15.454,13.628,14.907
AC079834.2,0.025,0.0,0.0,0.0
AC011498.4,0.013999999999999999,0.0,0.019,0.0
HNRNPA1,220.93400000000003,222.52599999999998,224.396,229.50400000000002
PPP2R2A,8.709,8.57,8.214,8.825
ATP2C2-AS1,0.504,0.52,0.374,0.307
TNRC18P1,0.013000000000000001,0.040999999999999995,0.019,0.0
AOX3P-AOX2P,0.0,0.0,0.0,0.0
IRAK3,0.305,0.371,0.245,0.29
ZFAND1,18.987000000000002,18.56,19.215999999999998,20.262
CYP4F9P,0.0,0.0,0.0,0.0
IRAK1,108.40899999999999,107.48200000000001,106.08200000000001,103.54799999999999
WFIKKN2,0.0,0.0,0.0,0.0
DUSP15,0.7979999999999999,0.705,0.812,0.608
UBE2S,41.518,42.755,42.883,39.961
NCOA1,5.069,5.357,4.994,5.178
AC087516.2,0.0,0.0,0.0,0.0
DDX10,7.069,7.169,7.58,7.81
SPA17,4.1339999999999995,3.937,3.765,3.6430000000000002
AL136099.1,0.0,0.0,0.0,0.0
AP006216.1,0.349,0.177,0.501,0.47100000000000003
CDK19,5.22,5.419,5.301,5.632000000000001
KCNA7,0.067,0.051,0.064,0.06
RN7SL468P,0.0,0.0,0.0,0.0
CCDC124,108.059,106.866,107.912,103.12899999999999
GDNF-AS1,0.0,0.008,0.0,0.0
CCT6P4,0.0,0.0,0.0,0.0
LINC02292,0.0,0.0,0.0,0.0
EIF6,201.25400000000002,192.24200000000002,196.106,191.821
SMIM29,8.131,7.718,9.189,8.503
GPR155,0.47100000000000003,0.373,0.486,0.568
CD27,0.0,0.0,0.0,0.0
LINC01887,0.0,0.0,0.0,0.0
NUP58,10.311,10.798,10.261,11.21
AC019257.9,0.0,0.025,0.0,0.0
AMER3,0.0,0.0,0.0,0.0
MIR548AA1,0.0,0.0,0.0,0.0
AC116049.2,0.0,0.0,0.0,0.0
RPP38,8.595,8.501,7.688,9.482999999999999
NRG1,0.86,0.899,0.96,0.938
PLEKHO1,2.767,2.889,2.861,2.741
AC007494.1,0.0,0.0,0.0,0.0
AL022237.1,0.0,0.0,0.0,0.0
MYO5B,0.7340000000000001,0.79,0.758,0.888
PABPC1,565.0880000000001,570.3580000000001,593.184,588.607
DISC1,0.077,0.095,0.057,0.054000000000000006
SLC1A2,0.0,0.003,0.003,0.0
AC244517.6,0.077,0.17600000000000002,0.055,0.052000000000000005
AC093567.1,0.278,0.33899999999999997,0.479,0.601
FGFR4,2.049,1.883,1.5859999999999999,1.807
AL022334.1,0.027999999999999997,0.086,0.0,0.0
AP001330.5,0.594,0.18100000000000002,0.511,0.32
AL023803.3,0.374,0.284,0.0,0.504
MIR3196,0.0,0.0,0.0,0.0
RN7SL192P,0.489,0.0,0.0,0.22
PECAM1,0.0,0.0,0.009000000000000001,0.0
DEPDC1,21.212,21.125,22.346,21.409000000000002
MAS1,0.0,0.0,0.0,0.0
MRPL55,7.398,8.857000000000001,8.795,8.866
AC010255.1,0.2,0.102,0.0,0.09
AC114763.1,0.595,0.33899999999999997,0.426,0.652
ZNF132,0.127,0.086,0.10099999999999999,0.057
MYPOP,3.4989999999999997,3.25,3.175,3.125
STEAP2-AS1,0.0,0.0,0.11599999999999999,0.0
RPL12P17,0.0,0.149,0.141,0.0
ADH5,32.113,32.085,30.377,31.739
SNX19,6.1160000000000005,6.693,7.023,7.074
SETP16,0.0,0.0,0.0,0.0
RF00322,0.0,0.0,0.0,0.0
LINC01448,0.125,0.507,0.179,0.225
BAHCC1,2.198,2.088,2.265,2.15
TMEM106C,42.792,43.176,41.428999999999995,43.06100000000001
PRDX3P1,0.064,0.0,0.092,0.0
RNU6-287P,0.0,0.0,0.0,0.0
RNU6-1241P,0.0,0.0,0.0,0.0
LINC02397,0.0,0.0,0.0,0.0
AC012368.1,0.0,0.0,0.0,0.027000000000000003
PRDM8,6.05,5.89,6.59,6.529
UTRN,19.692999999999998,19.769000000000002,20.929000000000002,20.816999999999997
LINC01342,0.0,0.0,0.0,0.0
AP000813.1,0.0,0.0,0.0,0.0
PACRG,0.019,0.0,0.0,0.0
CDC20P1,10.863,10.392999999999999,11.898,11.718
AC091868.1,0.0,0.0,0.0,0.0
AC008581.1,0.0,0.0,0.0,0.0
TUSC1,0.0,0.0,0.068,0.032
HAUS1,23.254,24.84,22.625,23.021
MIP,0.069,0.042,0.08900000000000001,0.046
TPSAB1,0.0,0.0,0.0,0.0
AC048344.4,6.11,5.917000000000001,6.375,4.372
AC068647.2,0.0,0.142,0.0,0.126
PDIA3P1,5.834,5.956,6.087999999999999,5.479
AL390955.1,0.0,0.079,0.0,0.07
ATP6V1H,14.710999999999999,14.487,14.124,15.542
