"","SYMBOL","GENEID","len"
"1","DDX11L1","ENSG00000223972",1735
"2","WASH7P","ENSG00000226210",1817
"3","WASH7P","ENSG00000227232",1351
"4","WASH7P","ENSG00000262435",1817
"5","FAM138A","ENSG00000237613",1219
"6","OR4F5","ENSG00000186092",2618
"9","OR4F3","ENSG00000230178",995
"10","LINC00115","ENSG00000225880",1317
"11","FAM41C","ENSG00000230368",1971
"12","SAMD11","ENSG00000187634",4173
"13","NOC2L","ENSG00000188976",5540
"14","KLHL17","ENSG00000187961",3402
"15","PLEKHN1","ENSG00000187583",3451
"16","HES4","ENSG00000188290",1118
"17","ISG15","ENSG00000187608",867
"18","AGRN","ENSG00000188157",10761
"20","RNF223","ENSG00000237330",1900
"21","C1orf159","ENSG00000131591",6322
"22","MIR200B","ENSG00000207730",95
"23","MIR200A","ENSG00000207607",90
"24","MIR429","ENSG00000198976",83
"25","TTLL10","ENSG00000162571",3998
"26","TNFRSF18","ENSG00000186891",1271
"27","TNFRSF4","ENSG00000186827",1722
"28","SDF4","ENSG00000078808",4745
"29","B3GALT6","ENSG00000176022",2805
"30","FAM132A","ENSG00000184163",1794
"31","UBE2J2","ENSG00000160087",4712
"32","SCNN1D","ENSG00000162572",4025
"33","ACAP3","ENSG00000131584",8707
"34","PUSL1","ENSG00000169972",2459
"35","CPSF3L","ENSG00000127054",8220
"36","TAS1R3","ENSG00000169962",3475
"37","DVL1","ENSG00000107404",3882
"38","MXRA8","ENSG00000162576",3622
"39","AURKAIP1","ENSG00000175756",1669
"40","CCNL2","ENSG00000221978",6857
"41","MRPL20","ENSG00000242485",2767
"42","ANKRD65","ENSG00000235098",2644
"43","TMEM88B","ENSG00000205116",492
"44","VWA1","ENSG00000179403",5065
"45","ATAD3C","ENSG00000215915",3981
"46","ATAD3B","ENSG00000160072",7686
"47","ATAD3A","ENSG00000197785",3344
"48","TMEM240","ENSG00000205090",2009
"49","SSU72","ENSG00000160075",6919
"50","C1orf233","ENSG00000228594",2124
"51","MIB2","ENSG00000197530",8767
"52","MMP23B","ENSG00000189409",2205
"53","MMP23A","ENSG00000215914",1017
"54","CDK11B","ENSG00000248333",3488
"55","SLC35E2B","ENSG00000189339",8462
"56","CDK11A","ENSG00000008128",5085
"57","SLC35E2","ENSG00000215790",7713
"58","NADK","ENSG00000008130",5570
"59","GNB1","ENSG00000078369",6417
"60","CALML6","ENSG00000169885",2040
"61","TMEM52","ENSG00000178821",1600
"62","GABRD","ENSG00000187730",5525
"63","PRKCZ","ENSG00000067606",7695
"64","C1orf86","ENSG00000162585",10916
"65","SKI","ENSG00000157933",6550
"66","MORN1","ENSG00000116151",11337
"67","RER1","ENSG00000157916",5689
"68","PEX10","ENSG00000157911",3789
"69","PLCH2","ENSG00000149527",10809
"70","PLCH2","ENSG00000276429",10431
"71","PANK4","ENSG00000157881",5086
"72","PANK4","ENSG00000273494",5079
"73","HES5","ENSG00000197921",1324
